ID,Name,Nationality,Age,Team,Contract_Period,Height_cm,Weight_kg,Positions,BP,foot,↓OVA,POT,Player_Tier,Growth,Value_Eur,Wage_Eur,Release_Clause_Eur,Offensive_Score,Total Stats,Base Stats,Hits
204485,Riyad Mahrez,Algeria,29,Manchester City,2018 ~ 2023,177.8,67.1,RW RM,RW,Left,85,85,Elite,0,37500000.0,210000.0,69400000.0,392.0,2034,430,"
109"
202556,Memphis Depay,Netherlands,26,Olympique Lyonnais,2017 ~ 2021,175.3,78.0,CF LW CAM,CAM,Right,85,88,World Class,3,48500000.0,115000.0,95800000.0,400.0,2095,446,"
329"
201399,Mauro Icardi,Argentina,27,Paris Saint-Germain,2020 ~ 2024,180.3,74.8,ST,ST,Right,85,86,World Class,1,45000000.0,135000.0,86600000.0,361.0,1946,405,"
70"
198706,Luis Alberto Romero Alconchel,Spain,27,Lazio,2016 ~ 2025,182.9,73.9,CAM CM CF,CAM,Right,85,85,Elite,0,40500000.0,99000.0,68900000.0,399.0,2048,438,"
96"
198219,Lorenzo Insigne,Italy,29,Napoli,2010 ~ 2022,162.6,59.0,LW CF,LW,Right,85,85,Elite,0,37500000.0,120000.0,63800000.0,399.5,2001,420,"
97"
193747,Jorge Resurreccion,Spain,28,Atlético Madrid,2011 ~ 2024,175.3,74.8,CM RM LM,CM,Right,85,85,Elite,0,38000000.0,92000.0,77900000.0,385.0,2208,465,"
89"
192563,Bernd Leno,Germany,28,Arsenal,2018 ~ 2023,190.5,82.1,GK,GK,Right,85,87,World Class,2,33500000.0,105000.0,66200000.0,103.5,1372,474,"
73"
192505,Romelu Lukaku,Belgium,27,Inter,2019 ~ 2024,190.5,93.9,ST,ST,Left,85,86,World Class,1,45000000.0,165000.0,79900000.0,385.5,2019,437,"
210"
191043,Alex Sandro Lobo Silva,Brazil,29,Juventus,2015 ~ 2023,180.3,79.8,LB LM,LB,Left,85,85,Elite,0,31500000.0,120000.0,52000000.0,366.5,2178,465,"
82"
190460,Christian Eriksen,Denmark,28,Inter,2020 ~ 2024,180.3,76.2,CAM CM RM,CAM,Right,85,85,Elite,0,39000000.0,155000.0,66300000.0,406.5,2090,438,"
146"
189513,Daniel Parejo Munoz,Spain,31,Villarreal CF,2020 ~ 2024,182.9,73.9,CM,CM,Right,85,85,Elite,0,33000000.0,59000.0,69300000.0,416.5,2170,444,"
62"
189509,Thiago Alcantara,Spain,29,Liverpool,2020 ~ 2024,175.3,69.9,CM CDM,CM,Right,85,85,Elite,0,37000000.0,150000.0,68500000.0,402.5,2179,443,"
165"
188377,Kyle Walker,England,30,Manchester City,2017 ~ 2024,182.9,69.9,RB,RB,Right,85,85,Elite,0,30500000.0,170000.0,56400000.0,361.0,2188,470,"
129"
188350,Marco Reus,Germany,31,Borussia Dortmund,2012 ~ 2023,180.3,71.2,CAM CF,CAM,Right,85,85,Elite,0,34000000.0,94000.0,57800000.0,405.5,2147,443,"
162"
185122,Peter Gulacsi,Hungary,30,RB Leipzig,2015 ~ 2023,190.5,86.2,GK,GK,Right,85,85,Elite,0,26000000.0,65000.0,44200000.0,99.0,1315,464,"
35"
184344,Leonardo Bonucci,Italy,33,Juventus,2018 ~ 2024,190.5,84.8,CB,CB,Right,85,85,Elite,0,18000000.0,110000.0,29700000.0,328.0,1967,421,"
67"
184087,Toby Alderweireld,Belgium,31,Tottenham Hotspur,2015 ~ 2023,185.4,81.2,CB,CB,Right,85,85,Elite,0,28500000.0,130000.0,54200000.0,329.5,2031,423,"
65"
182493,Diego Godin,Uruguay,34,Cagliari,2020 ~ 2023,188.0,78.0,CB,CB,Right,85,85,Elite,0,14500000.0,56000.0,24700000.0,300.0,1875,396,"
47"
181291,Georginio Wijnaldum,Netherlands,29,Liverpool,2016 ~ 2021,175.3,68.9,CM,CM,Right,85,85,Elite,0,37000000.0,150000.0,68500000.0,395.5,2267,475,"
112"
180206,Miralem Pjanic,Bosnia Herzegovina,30,FC Barcelona,2020 ~ 2024,177.8,72.1,CM,CM,Right,85,85,Elite,0,35500000.0,220000.0,72800000.0,399.5,2181,449,"
77"
175943,Dries Mertens,Belgium,33,Napoli,2013 ~ 2022,170.2,60.8,CF ST,CF,Right,85,85,Elite,0,24000000.0,115000.0,40800000.0,383.5,2023,423,"
106"
164240,Thiago Emiliano da Silva,Brazil,35,Chelsea,2020 ~ 2021,182.9,78.9,CB,CB,Right,85,85,Elite,0,11500000.0,93000.0,21900000.0,335.5,2037,420,"
84"
239085,Erling Haaland,Norway,19,Borussia Dortmund,2020 ~ 2024,193.0,88.0,ST,ST,Left,84,92,Legendary,8,45000000.0,56000.0,85500000.0,348.5,2027,438,"
1.3K"
231478,Lautaro Martinez,Argentina,22,Inter,2018 ~ 2023,175.3,81.2,ST,ST,Right,84,91,Legendary,7,44500000.0,130000.0,84600000.0,376.0,2115,451,"
310"
230658,Arthur Henrique Ramos Oliveira Melo,Brazil,23,Juventus,2020 ~ 2024,170.2,73.0,CM,CM,Right,84,89,World Class,5,41000000.0,98000.0,70700000.0,374.0,2163,454,"
181"
230142,Mikel Oyarzabal Ugarte,Spain,23,Real Sociedad,2014 ~ 2024,180.3,78.9,LW RW,CAM,Left,84,90,World Class,6,42500000.0,47000.0,97800000.0,383.5,2039,431,"
364"
226790,Wilfred Ndidi,Nigeria,23,Leicester City,2017 ~ 2024,182.9,73.9,CDM CM,CB,Right,84,88,World Class,4,36500000.0,96000.0,72100000.0,331.0,2120,446,"
200"
226753,Andre Onana,Cameroon,24,Ajax,2015 ~ 2022,190.5,93.0,GK,GK,Right,84,88,World Class,4,30000000.0,18000.0,44300000.0,118.0,1458,482,"
141"
216460,Jose Maria Gimenez,Uruguay,25,Atlético Madrid,2013 ~ 2023,185.4,78.9,CB,CB,Right,84,88,World Class,4,36000000.0,70000.0,76500000.0,257.0,1761,388,"
134"
216352,Marcelo Brozovic,Croatia,27,Inter,2016 ~ 2022,180.3,68.0,CDM CM,CDM,Right,84,85,Elite,1,32000000.0,125000.0,56800000.0,381.0,2176,455,"
122"
213345,Kingsley Coman,France,24,FC Bayern München,2015 ~ 2023,177.8,74.8,LM RM LW,RM,Right,84,88,World Class,4,40500000.0,94000.0,69900000.0,379.5,1947,421,"
146"
212462,Alex Nicolao Telles,Brazil,27,Manchester United,2020 ~ 2024,180.3,71.2,LB,LB,Left,84,85,Elite,1,31000000.0,145000.0,61200000.0,394.0,2282,478,"
249"
212194,Julian Brandt,Germany,24,Borussia Dortmund,2019 ~ 2024,185.4,83.0,CAM CM,CAM,Right,84,88,World Class,4,40500000.0,75000.0,71900000.0,388.0,2083,445,"
207"
212190,Niklas Sule,Germany,24,FC Bayern München,2017 ~ 2022,195.6,97.1,CB,CB,Right,84,89,World Class,5,37500000.0,84000.0,64700000.0,243.0,1697,385,"
121"
211300,Anthony Martial,France,24,Manchester United,2015 ~ 2024,182.9,76.2,ST,ST,Right,84,88,World Class,4,41000000.0,155000.0,81000000.0,380.0,2065,446,"
259"
211256,Nicolas Tagliafico,Argentina,27,Ajax,2018 ~ 2022,172.7,64.9,LB,LB,Left,84,84,Elite,0,27500000.0,27000.0,38500000.0,335.0,2096,448,"
122"
210035,Alejandro Grimaldo Garcia,Spain,24,SL Benfica,2016 ~ 2023,170.2,68.9,LB,LWB,Left,84,88,World Class,4,35500000.0,20000.0,73700000.0,378.0,2183,461,"
309"
209989,Thomas Partey,Ghana,27,Arsenal,2020 ~ 2024,185.4,77.1,CM,CDM,Right,84,85,Elite,1,35000000.0,120000.0,69100000.0,372.0,2197,476,"
367"
209889,Raphael Guerreiro,Portugal,26,Borussia Dortmund,2016 ~ 2023,170.2,71.2,LM LB CM,CAM,Left,84,85,Elite,1,36500000.0,86000.0,64800000.0,392.5,2148,453,"
224"
209658,Leon Goretzka,Germany,25,FC Bayern München,2018 ~ 2022,188.0,76.2,CM CDM,CM,Right,84,88,World Class,4,39500000.0,105000.0,68100000.0,393.0,2255,480,"
211"
208421,Saul Niguez Esclapez,Spain,25,Atlético Madrid,2013 ~ 2026,182.9,74.8,CM LM LB,CM,Left,84,87,World Class,3,38500000.0,77000.0,81800000.0,386.5,2213,464,"
152"
207863,Felipe Augusto de Almeida Monteiro,Brazil,31,Atlético Madrid,2019 ~ 2022,190.5,83.9,CB,CB,Right,84,84,Elite,0,23000000.0,74000.0,47200000.0,268.0,1821,394,"
60"
204838,Raul Jimenez,Mexico,29,Wolverhampton Wanderers,2019 ~ 2024,188.0,81.2,ST,ST,Right,84,84,Elite,0,31000000.0,140000.0,58900000.0,386.5,2120,450,"
152"
200647,Josip Ilicic,Slovenia,32,Atalanta,2017 ~ 2022,190.5,78.9,CF ST,CAM,Left,84,84,Elite,0,25000000.0,92000.0,42500000.0,407.0,2046,436,"
90"
200458,Lucas Digne,France,26,Everton,2018 ~ 2023,177.8,73.9,LB,LB,Left,84,85,Elite,1,31500000.0,110000.0,62200000.0,383.5,2215,462,"
176"
199451,Wissam Ben Yedder,France,29,AS Monaco,2019 ~ 2024,170.2,68.0,ST,CF,Right,84,84,Elite,0,31000000.0,91000.0,58900000.0,399.0,2080,433,"
112"
198176,Stefan de Vrij,Netherlands,28,Inter,2018 ~ 2023,188.0,78.0,CB,CB,Right,84,85,Elite,1,30500000.0,130000.0,54100000.0,263.5,1823,400,"
90"
197965,Luis Miguel Afonso Fernandes,Portugal,30,SL Benfica,2013 ~ 2023,177.8,72.1,RM CM,RM,Right,84,84,Elite,0,29500000.0,25000.0,59000000.0,388.5,2167,452,"
80"
197781,Francisco Roman Alarcon Suarez,Spain,28,Real Madrid,2013 ~ 2022,175.3,78.9,CAM CM LW,CAM,Right,84,84,Elite,0,31500000.0,210000.0,64599999.99999999,394.0,2080,433,"
108"
197445,David Alaba,Austria,28,FC Bayern München,2010 ~ 2021,180.3,78.0,CB LB,CB,Left,84,84,Elite,0,27500000.0,105000.0,45400000.0,384.5,2247,466,"
200"
193474,Idrissa Gueye,Senegal,30,Paris Saint-Germain,2019 ~ 2023,175.3,66.2,CDM CM,CDM,Right,84,84,Elite,0,25500000.0,105000.0,47200000.0,318.5,2086,443,"
69"
193165,Jesus Corona,Mexico,27,FC Porto,2015 ~ 2022,172.7,62.1,RM RB,RM,Right,84,84,Elite,0,32500000.0,25000.0,65000000.0,386.5,2188,455,"
207"
192629,Iago Aspas Juncal,Spain,32,RC Celta,2015 ~ 2023,175.3,67.1,ST RW,ST,Left,84,84,Elite,0,25000000.0,46000.0,52500000.0,405.5,2063,429,"
63"
190483,Douglas Costa de Souza,Brazil,29,FC Bayern München,2018 ~ 2022,172.7,69.9,LM RW LW,LM,Left,84,84,Elite,0,30500000.0,110000.0,50300000.0,382.5,2070,438,"
111"
189117,Roman Burki,Switzerland,29,Borussia Dortmund,2015 ~ 2023,188.0,84.8,GK,GK,Right,84,85,Elite,1,25000000.0,67000.0,44400000.0,87.0,1286,456,"
52"
185020,Jose Maria Callejon Bueno,Spain,33,Fiorentina,2020 ~ 2022,177.8,73.0,RM RW,RM,Right,84,84,Elite,0,19000000.0,85000.0,32299999.999999996,372.5,2034,434,"
111"
184432,Cesar Azpilicueta Tanco,Spain,30,Chelsea,2012 ~ 2022,177.8,77.1,RB LB,RB,Right,84,84,Elite,0,24500000.0,120000.0,46600000.0,340.5,2075,431,"
59"
179813,Edinson Cavani,Uruguay,33,Manchester United,2020 ~ 2021,185.4,77.1,ST,ST,Right,84,84,Elite,0,19500000.0,175000.0,37100000.0,378.0,2119,440,"
350"
178005,Rui Pedro dos Santos Patricio,Portugal,32,Wolverhampton Wanderers,2018 ~ 2022,190.5,83.9,GK,GK,Left,84,84,Elite,0,19000000.0,90000.0,36100000.0,94.0,1375,461,"
54"
177413,Axel Witsel,Belgium,31,Borussia Dortmund,2018 ~ 2022,185.4,81.2,CDM CM,CDM,Right,84,84,Elite,0,23500000.0,79000.0,40000000.0,388.5,2192,460,"
117"
176266,Lucas Pezzini Leiva,Brazil,33,Lazio,2017 ~ 2022,177.8,78.0,CDM,CDM,Right,84,84,Elite,0,15000000.0,83000.0,25500000.0,348.0,2082,434,"
65"
168435,Salvatore Sirigu,Italy,33,Torino,2017 ~ 2022,193.0,79.8,GK,GK,Right,84,84,Elite,0,17000000.0,54000.0,28900000.0,76.0,1260,457,"
27"
163587,Kasper Schmeichel,Denmark,33,Leicester City,2011 ~ 2023,188.0,88.9,GK,GK,Right,84,84,Elite,0,17000000.0,90000.0,32299999.999999996,115.5,1366,464,"
91"
146536,Jesus Navas Gonzalez,Spain,34,Sevilla FC,2017 ~ 2021,172.7,59.9,RB RM,RB,Right,84,84,Elite,0,11000000.0,43000.0,23100000.0,375.0,2170,456,"
117"
